t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1681858238,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858241,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858244,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858247,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858250,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858253,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858256,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858259,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858262,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858265,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858268,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858271,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858274,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858277,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858280,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858283,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858286,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858289,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858292,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858295,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858298,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858301,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858304,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858307,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858310,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858313,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858316,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858319,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858322,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858325,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858328,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858331,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858334,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858337,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858340,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858343,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858346,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858349,0,0.000000,0.000000,0.000000,0.000000,events/second
1681858352,0,0.000000,0.000000,0.000000,0.000000,events/second
